id,date,time,llm_model,prompt_tokens,completion_tokens,total_tokens,api_latency_sec,parsed_action,parsed_symbol,parsed_qty,parsed_price,simulate_mode,risk_check_passed,executed,notes
1,2026-03-30,17:06:57,unknown,0,0,2014,0.00,NO_OP,,0,,True,True,False,
2,2026-03-30,17:09:56,simulated,0,10,10,10.44,NO_OP,,,,True,True,False,
3,2026-03-30,17:13:01,simulated,0,10,10,10.10,NO_OP,,,,True,True,False,
4,2026-03-30,17:43:37,unknown,0,0,9739,0.00,NO_OP,,0,,True,True,False,
5,2026-03-30,18:39:15,simulated,0,10,10,15.59,NO_OP,,,,True,True,False,
6,2026-03-30,21:31:04,simulated,0,10,10,15.71,NO_OP,,,,True,True,False,
7,2026-03-30,21:36:04,simulated,0,10,10,15.58,NO_OP,,,,True,True,False,
8,2026-03-30,21:41:04,simulated,0,10,10,15.55,NO_OP,,,,True,True,False,
9,2026-03-30,21:46:04,simulated,0,10,10,16.45,NO_OP,,,,True,True,False,
10,2026-03-30,21:51:03,simulated,0,10,10,15.66,NO_OP,,,,True,True,False,
11,2026-03-30,21:56:03,simulated,0,10,10,15.49,NO_OP,,,,True,True,False,
12,2026-03-30,22:01:03,simulated,0,10,10,15.77,NO_OP,,,,True,True,False,
13,2026-03-30,22:06:03,simulated,0,10,10,15.68,NO_OP,,,,True,True,False,
14,2026-03-30,22:11:03,simulated,0,10,10,15.73,NO_OP,,,,True,True,False,
15,2026-03-30,22:16:03,simulated,0,10,10,15.71,NO_OP,,,,True,True,False,
16,2026-03-30,22:21:03,simulated,0,10,10,15.72,NO_OP,,,,True,True,False,
17,2026-03-30,22:26:03,simulated,0,10,10,15.54,NO_OP,,,,True,True,False,
18,2026-03-30,22:31:03,simulated,0,10,10,15.50,NO_OP,,,,True,True,False,
19,2026-03-30,22:36:03,simulated,0,10,10,15.47,NO_OP,,,,True,True,False,
20,2026-03-30,22:41:03,simulated,0,10,10,15.56,NO_OP,,,,True,True,False,
21,2026-03-30,22:46:03,simulated,0,10,10,15.63,NO_OP,,,,True,True,False,
22,2026-03-30,22:51:02,simulated,0,10,10,15.48,NO_OP,,,,True,True,False,
23,2026-03-30,22:56:02,simulated,0,10,10,15.52,NO_OP,,,,True,True,False,
24,2026-03-30,23:01:02,simulated,0,10,10,15.49,NO_OP,,,,True,True,False,
25,2026-03-30,23:06:02,simulated,0,10,10,15.63,NO_OP,,,,True,True,False,
26,2026-03-30,23:11:32,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
27,2026-03-30,23:16:02,simulated,0,10,10,15.76,NO_OP,,,,True,True,False,
28,2026-03-30,23:21:02,simulated,0,10,10,15.67,NO_OP,,,,True,True,False,
29,2026-03-30,23:26:02,simulated,0,10,10,15.75,NO_OP,,,,True,True,False,
30,2026-03-30,23:31:02,simulated,0,10,10,15.72,NO_OP,,,,True,True,False,
31,2026-03-30,23:36:02,simulated,0,10,10,15.70,NO_OP,,,,True,True,False,
32,2026-03-30,23:41:02,simulated,0,10,10,15.56,NO_OP,,,,True,True,False,
33,2026-03-30,23:45:47,simulated,0,10,10,0.05,NO_OP,,,,True,True,False,
34,2026-03-30,23:50:46,simulated,0,10,10,0.04,NO_OP,,,,True,True,False,
35,2026-03-30,23:55:45,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
36,2026-03-30,00:00:45,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
37,2026-03-30,00:05:44,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
38,2026-03-30,00:10:44,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
39,2026-03-30,00:15:43,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
40,2026-03-30,00:20:43,simulated,0,10,10,0.09,NO_OP,,,,True,True,False,
41,2026-03-30,00:25:42,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
42,2026-03-30,00:30:41,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
43,2026-03-30,00:35:41,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
44,2026-03-30,00:40:40,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
45,2026-03-30,00:45:40,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
46,2026-03-30,00:50:39,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
47,2026-03-30,00:55:38,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
48,2026-03-30,01:00:38,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
49,2026-03-30,01:05:37,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
50,2026-03-30,01:10:36,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
51,2026-03-30,01:15:36,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
52,2026-03-30,01:20:35,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
53,2026-03-30,01:25:35,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
54,2026-03-30,01:30:34,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
55,2026-03-30,01:36:03,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
56,2026-03-30,01:41:03,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
57,2026-03-30,01:46:02,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
58,2026-03-30,01:50:31,simulated,0,10,10,0.05,NO_OP,,,,True,True,False,
59,2026-03-30,01:55:31,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
60,2026-03-30,02:00:30,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
61,2026-03-30,02:05:29,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
62,2026-03-30,02:10:29,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
63,2026-03-30,02:15:28,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
64,2026-03-30,02:20:28,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
65,2026-03-30,02:25:27,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
66,2026-03-30,02:30:26,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
67,2026-03-30,02:35:26,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
68,2026-03-30,02:40:25,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
69,2026-03-30,02:45:25,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
70,2026-03-30,02:50:24,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
71,2026-03-30,02:55:23,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
72,2026-03-30,03:00:53,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
73,2026-03-30,03:05:52,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
74,2026-03-30,03:10:51,unknown,0,0,0,0.00,NO_OP,,0,,True,False,False,"QueuePool limit of size 5 overflow 10 reached, connection timed out, timeout 30.00 (Background on this error at: https://sqlalche.me/e/20/3o7r)"
75,2026-03-30,03:15:21,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
76,2026-03-30,03:20:20,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
77,2026-03-30,03:25:20,simulated,0,10,10,0.03,NO_OP,,,,True,True,False,
78,2026-03-30,03:30:19,simulated,0,10,10,0.02,NO_OP,,,,True,True,False,
